"(PDH-CSV 4.0) (Coordinated Universal Time)(0)","\\EC2AMAZ-LAEQ1CL\Memory\Page Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Available Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Committed Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Commit Limit","\\EC2AMAZ-LAEQ1CL\Memory\Write Copies/sec","\\EC2AMAZ-LAEQ1CL\Memory\Transition Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Cache Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Demand Zero Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Input/sec","\\EC2AMAZ-LAEQ1CL\Memory\Page Reads/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Output/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Page Writes/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Free System Page Table Entries","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes Peak","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Cache Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\% Committed Bytes In Use","\\EC2AMAZ-LAEQ1CL\Memory\Available KBytes","\\EC2AMAZ-LAEQ1CL\Memory\Available MBytes","\\EC2AMAZ-LAEQ1CL\Memory\Transition Pages RePurposed/sec","\\EC2AMAZ-LAEQ1CL\Memory\Free & Zero Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Modified Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Reserve Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Normal Priority Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Core Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Long-Term Average Standby Cache Lifetime (s)","\\EC2AMAZ-LAEQ1CL\Processor(_Total)\% Processor Time"
"03/26/2025 09:42:15.155","15.952544371005133783","14376501248","3505688576","20266467328","0","0","0","15.952544371005133783","0","0","0","0","222588928","78565376","0","0","0","16227657","102375424","103563264","201310208","8192","17100800","15667200","40271872","102375424","17.297975606587243647","14039552","13710","0","12306132992","180842496","843816960","1226551296","0","14400","1.0766548931580466331"
"03/26/2025 09:42:16.159","144.43530130249763488","14376505344","3506393088","20266467328","0","3.9844221048964865162","5.9766331573447297743","138.45866814515289889","0","0","0","0","222588928","78565376","0","0","0","16227680","102387712","103563264","201310208","8192","17100800","15667200","40271872","102387712","17.301451837946999035","14039556","13710","0","12306153472","180838400","843816960","1226534912","0","14400","3.1204543652635474693"
"03/26/2025 09:42:17.157","11376.128807478484305","14579122176","2259963904","20266467328","619.2590155044219955","5802.7976679386865726","3.0061117257496214883","3234.5762169065928902","0","0","0","0","222621696","78565376","0","0","0","16227694","102395904","103563264","201342976","8192","17100800","15667200","40271872","102395904","11.151247357751998379","14237424","13903","0","12496031744","180658176","843816960","1239273472","0","14400","4.5012487855063731956"
"03/26/2025 09:42:18.164","24.810128089729303724","14579318784","2259697664","20266467328","0","0.99240512358917210012","0","23.817722966140131291","0","0","0","0","222617600","78565376","0","0","0","16227700","88596480","103563264","201342976","8192","17100800","15667200","40271872","88596480","11.149933657411004617","14237616","13903","0","12482424832","180592640","843816960","1253076992","0","14400","0"
"03/26/2025 09:42:19.153","71.805209255549883096","14579896320","2258677760","20266467328","0","14.158773656023921461","1.0113409754302802313","63.714481452107648352","0","0","0","0","222617600","78565376","0","0","0","16227708","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.144901186028704387","14238180","13904","0","12483018752","180568064","843804672","1253072896","0","14400","0.44836790945870230729"
"03/26/2025 09:42:20.158","2.9868289802458098947","14579945472","2258677760","20266467328","0","0","0","2.9868289802458098947","0","0","0","0","222617600","78565376","0","0","0","16227719","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.144901186028704387","14238228","13904","0","12483067904","180568064","843804672","1253072896","0","14400","0.4570613570728632169"
"03/26/2025 09:42:21.172","0","14580113408","2258456576","20266467328","0","0","0","0","0","0","0","0","222617600","78565376","0","0","0","16227719","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.14380981566938722","14238392","13904","0","12483235840","180596736","843804672","1253072896","0","14400","0.62844481895384385339"
"03/26/2025 09:42:22.165","1.0063728561113249871","14580170752","2258456576","20266467328","0","0","0","1.0063728561113249871","0","0","0","0","222617600","78565376","0","0","0","16227719","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.14380981566938722","14238448","13904","0","12483293184","180596736","843804672","1253072896","0","14400","0"
"03/26/2025 09:42:23.154","6.0695737024794107484","14580244480","2258456576","20266467328","0","0","0","6.0695737024794107484","0","0","0","0","222617600","78565376","0","0","0","16227719","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.14380981566938722","14238520","13904","0","12483366912","180596736","843804672","1253072896","0","14400","0.44204490598542811597"
"03/26/2025 09:42:24.172","0","14580334592","2258456576","20266467328","0","0","0","0","0","0","0","0","222617600","78565376","0","0","0","16227724","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.14380981566938722","14238608","13904","0","12483457024","180596736","843804672","1253072896","0","14400","0.64477075363228442129"
"03/26/2025 09:42:25.157","0","14580404224","2258432000","20266467328","0","0","0","0","0","0","0","0","222617600","78565376","0","0","0","16227725","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.143688534187081274","14238676","13904","0","12483526656","180596736","843804672","1253072896","0","14400","0.078120511445733953337"
